City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
396,Makhambet,47.6667,51.5833,54.46,61,0,17.76,KZ,2023-10-29 18:02:56
397,Koregaon,18.65,74.0833,73.02,41,5,4.32,IN,2023-10-29 18:02:56
398,Karaton,-6.3424,106.1045,75.29,83,19,0.94,ID,2023-10-29 18:02:56
399,Wagar,16.1525,36.2032,93.16,34,87,4.74,SD,2023-10-29 18:02:56
400,Osakarovka,50.565,72.5692,40.06,99,100,10.45,KZ,2023-10-29 18:02:57
401,Amboasary,-25.0333,46.3833,77.16,80,23,13.27,MG,2023-10-29 18:02:57
402,Edna,28.9786,-96.6461,87.87,72,12,9.98,US,2023-10-29 18:02:57
403,Aripuana,-9.1667,-60.6333,103.48,21,85,3.91,BR,2023-10-29 18:02:57
404,Palikir - National Government Center,6.9248,158.1611,75.94,100,100,3.44,FM,2023-10-29 17:59:19
405,Mata-Utu,-13.2816,-176.1745,82.71,75,58,4.27,WF,2023-10-29 18:02:57
406,Dorgali,40.2926,9.5881,64.67,94,21,6.2,IT,2023-10-29 18:02:58
407,Kirovskiy,45.0917,133.5136,37.13,58,22,5.66,RU,2023-10-29 18:02:58
408,Sechura,-5.5569,-80.8222,78.48,59,100,10.31,PE,2023-10-29 18:02:58
409,Flin Flon,54.7682,-101.865,24.64,86,100,8.05,CA,2023-10-29 18:02:58
410,Hassi Messaoud,31.6804,6.0729,89.46,13,75,2.3,DZ,2023-10-29 18:02:58
411,Chiredzi,-21.05,31.6667,65.84,72,54,18.54,ZW,2023-10-29 18:02:58
412,Calbuco,-41.768,-73.1273,45.61,45,77,21.56,CL,2023-10-29 18:02:58
413,Asadabad,34.7824,48.1185,53.55,30,10,2.42,IR,2023-10-29 18:02:59
414,Vorgashor,67.5833,63.95,1.42,97,20,5.5,RU,2023-10-29 18:02:59
415,Nacozari De Garcia,30.3742,-109.6908,70.47,36,0,7.49,MX,2023-10-29 18:02:59
416,Merowe,18.4833,31.8167,91.29,20,11,10.58,SD,2023-10-29 18:02:59
417,Kone,-21.0595,164.8658,65.8,71,46,4.83,NC,2023-10-29 18:02:59
418,Changzhi,35.2089,111.7386,63.12,38,1,4.32,CN,2023-10-29 18:02:59
419,Geraldton,-28.7667,114.6,57.61,88,55,6.91,AU,2023-10-29 18:03:00
420,Murzuq,25.9155,13.9184,78.98,16,0,8.63,LY,2023-10-29 18:03:00
421,Petrozavodsk,61.7849,34.3469,26.06,86,100,6.71,RU,2023-10-29 18:03:00
422,Novyy Urgal,51.0736,132.5642,30.25,71,96,1.23,RU,2023-10-29 18:03:00
423,Mulayjah,27.271,48.4242,80.22,45,63,5.14,SA,2023-10-29 18:03:00
424,Sinabang,2.4803,96.3801,76.8,90,100,0.98,ID,2023-10-29 18:02:44
425,Thunder Bay,48.4001,-89.3168,33.78,44,75,12.66,CA,2023-10-29 17:59:59
426,Minas,-34.3759,-55.2377,74.23,65,15,17.43,UY,2023-10-29 18:03:01
427,Kalianget,-7.05,113.9333,82.27,73,17,10.22,ID,2023-10-29 18:03:01
428,Perbaungan,3.5679,98.956,77.11,91,100,3.02,ID,2023-10-29 18:03:01
429,Beau Vallon,-20.4189,57.6953,77.23,78,40,3.44,MU,2023-10-29 18:00:05
430,La'Ie,21.6477,-157.9253,79.43,83,5,6.24,US,2023-10-29 18:03:01
431,Arteche,12.2645,125.4048,78.04,90,82,7.78,PH,2023-10-29 18:03:02
432,At Taj,24.2049,23.2857,75.83,25,0,10.11,LY,2023-10-29 18:03:03
433,Navia,43.5354,-6.7194,52.16,90,92,6.17,ES,2023-10-29 18:03:04
434,Babu,24.4167,111.5167,65.25,95,94,2.24,CN,2023-10-29 18:03:04
435,Manokwari,-0.8667,134.0833,77.74,82,79,3.91,ID,2023-10-29 18:03:05
436,Edson,53.5835,-116.4356,23.14,68,0,5.75,CA,2023-10-29 18:01:33
437,Waingapu,-9.6567,120.2641,78.49,83,26,5.73,ID,2023-10-29 18:03:05
438,Kalajoki,64.25,23.95,31.91,86,97,2.01,FI,2023-10-29 18:03:05
439,Barquisimeto,10.0739,-69.3228,81.45,75,85,2.84,VE,2023-10-29 18:03:06
440,Avarua,-21.2078,-159.775,73.45,68,95,10.36,CK,2023-10-29 18:03:06
441,Moura,38.1401,-7.4486,64.51,89,100,15.46,PT,2023-10-29 18:03:06
442,Magistral'Nyy,56.1725,107.4458,22.37,67,31,4.05,RU,2023-10-29 18:03:07
443,Mogadishu,2.0371,45.3438,81.07,79,80,8.28,SO,2023-10-29 18:00:54
444,Thames,-37.1333,175.5333,55.26,95,100,22.39,NZ,2023-10-29 18:03:07
445,Siocon,7.7061,122.1353,78.06,86,39,2.17,PH,2023-10-29 18:03:07
446,Lander,42.833,-108.7307,31.15,52,0,10.36,US,2023-10-29 18:03:08
447,Kabompo,-13.5927,24.2008,75.33,53,80,3.06,ZM,2023-10-29 18:03:08
448,Hami,42.8,93.45,56.03,33,96,6.91,CN,2023-10-29 18:01:46
449,Belmonte,-15.8631,-38.8828,81.21,58,85,11.86,BR,2023-10-29 18:02:50
